








1000,955,799,732,737,742,4427,4400,4416,4411,4391,4463,
1181,926,811,747,854,813,4446,4376,4434,4457,4439,4361,
1034,1051,1043,737,886,791,4464,4418,4404,4440,4391,4442,
882,999,791,784,739,736,4377,4448,4393,4439,4448,4415,
1017,943,740,827,826,762,4395,4393,4460,4453,4378,4433,
1027,998,1054,883,744,745,4458,4443,4391,4387,4435,4389,
1047,1031,1002,737,737,770,4383,4451,4391,4429,4419,4388,
1042,947,792,736,760,823,4418,4477,4439,4387,4427,4446,
1061,1043,732,1050,751,813,4416,4354,4446,4432,4442,4398,
888,1047,841,736,756,800,4387,4361,4454,4444,4441,4413,
1037,944,998,817,730,765,4471,4368,4474,4367,4449,4386,
925,885,1046,733,738,730,4397,4413,4396,4443,4467,4447,
992,1023,765,846,784,824,4396,4387,4421,4423,4442,4398,
993,1032,760,844,797,832,4444,4396,4435,4429,4360,4426,
885,1061,1027,1008,738,738,4430,4393,4393,4412,4474,4452,
1044,1016,1045,1057,842,821,4471,4405,4448,4458,4436,4395,
1013,972,734,731,735,798,4458,4379,4464,4459,4391,4459,
946,881,993,807,801,804,4391,4478,4464,4460,4469,4429,
998,1060,746,743,849,778,4393,4420,4465,4450,4416,4387,
1015,1010,1033,740,801,886,4404,4437,4443,4467,4386,4396,
1025,1055,744,801,762,736,4433,4383,4415,4377,4443,4433,
1057,992,744,742,969,944,4419,4370,4450,4455,4434,4376,
1065,994,998,736,736,747,4428,4450,4451,4440,4389,4413,
1051,990,1055,735,736,735,4378,4358,4380,4394,4384,4425,
920,879,803,800,899,736,4403,4419,4430,4482,4424,4392,
